TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;;
TOTALES POR OPERADORES A„O 2015;;;;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;;
;;;;;;;;;;;;;
OPERADORES;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;TOTAL
LANCO (CARGA)     ;69.444;0;0;25.114;0;0;0;0;0;0;0;0;94.558
L.A.C.S.A.        ;22.033;40.960;53.794;58.261;45.619;55.925;43.484;45.836;38.267;46.319;42.330;50.796;543.624
C.O.P.A.          ;0;0;0;0;0;0;8.500;0;0;0;0;0;8.500
AEROMEXICO        ;531.652;537.407;549.383;557.070;403.991;416.798;421.301;423.676;427.073;494.770;475.024;446.625;5.684.770
LATINOAMERICANAS  ;1.223.649;1.198.731;1.310.335;1.339.822;1.009.259;1.136.959;1.174.367;1.037.931;1.059.260;1.381.393;1.370.713;1.372.516;14.614.935
AIR CANADA        ;1.611.273;558.155;667.675;299.343;270.621;270.140;258.979;238.391;231.754;370.022;708.179;866.464;6.350.996
AMERICAN AIRLINES ;1.037.183;1.024.479;1.112.363;910.596;1.021.372;842.157;826.499;1.239.604;1.026.149;822.728;1.087.491;1.360.987;12.311.608
ATLAS AIR INC.    ;2.551.449;2.552.676;2.712.752;2.562.151;2.112.189;3.181.975;2.235.146;2.828.229;2.422.375;2.622.382;4.895.985;4.421.806;35.099.115
CENTURION AIR CARGO;0;0;79.878;0;0;0;967.897;350.143;590.092;58.490;125.215;0;2.171.715
DELTA AIRLINES    ;515.022;413.900;440.300;392.000;340.500;516.138;568.673;808.845;649.882;808.643;417.890;402.685;6.274.478
UNITED AIRLINES   ;250.769;357.976;377.982;497.974;307.751;472.320;582.769;488.517;533.777;634.354;632.007;747.065;5.883.261
NORTEAMERICANAS   ;5.965.696;4.907.186;5.390.950;4.662.064;4.052.433;5.282.730;5.439.963;5.953.729;5.454.029;5.316.619;7.866.767;7.799.007;68.091.173
AIR EUROPA        ;60.360;55.906;4.626;0;0;0;0;0;0;0;0;0;120.892
