;Economy;Trading Across Borders DTF;Trading Across Borders rank;Time to export: Border compliance (hours);Cost to export: Border compliance (USD);Time to export: Documentary compliance (hours);Cost to export: Documentary compliance (USD);Time to import: Border compliance (hours);Cost to import: Border compliance (USD);Time to import: Documentary compliance (hours);Cost to import: Documentary compliance (USD)
Region;;;;;;;;;;;
;St Kitts and Nevis;79,26;72;27;335;48;100;37;311;33;90
;St Lucia;73,87;81;27;718;19;63;27;842;14;98
;St Vincent and the Grenadines;71,08;88;28;425;72;80;48;875;24;90
;Sudan;19,16;184;162;950;190;428;144;1093;132;420
;Suriname;75,02;78;84;468;12;40;48;658;24;40
;Swaziland;92,68;31;3;134;4;76;5;134;4;76
;Sweden;98,04;18;2;55;1;40;0;0;1;0
;Switzerland;91,79;37;1;201;2;75;1;201;2;75
;Syrian Arab Republic;29,83;176;84;1113;48;725;141;828;149;742
;Taiwan, China;80,11;68;17;335;31;84;47;389;41;90
;Tajikistan;57,05;144;75;313;66;330;108;223;126;260
;Tanzania;20,21;180;96;1160;96;275;402;1350;240;375
;Thailand;84,1;56;51;223;11;97;50;233;4;43
;Timor-Leste;69,9;94;96;350;33;100;100;410;44;115
;Togo;63,66;117;67;163;11;25;168;612;180;252
;Tonga;68,2;100;52;201;168;70;26;330;72;148
;Trinidad and Tobago;62,6;123;60;499;32;250;78;635;44;250
;Tunisia;70,5;92;50;469;3;200;80;596;27;144
;Turkey;79,71;70;16;376;5;87;41;655;11;142
;Uganda;58,9;136;71;287;64;102;154;489;138;296
;Ukraine;64,26;115;26;75;96;292;72;100;168;212
;United Arab Emirates;71,5;85;27;462;6;178;54;678;12;283
;United Kingdom;93,76;28;24;280;4;25;3;0;2;0
;United States;92,01;35;2;175;2;60;2;175;8;100
;United States - Los Angeles;92,01;;2;175;2;60;2;175;8;100
;United States - New York City;92,01;;2;175;2;60;2;175;8;100
;Uruguay;55,98;146;120;1095;24;231;13;375;72;285
;Uzbekistan;44,31;165;112;278;174;292;111;278;174;292
;Vanuatu;56,27;145;38;709;72;282;126;681;48;183
;Venezuela, RB;7,93;187;288;1250;528;375;240;1500;1090;400
;Vietnam;69,92;93;58;309;50;139;62;392;76;183
;West Bank and Gaza;68,21;99;74;196;120;288;2;0;45;200
;Yemen, Rep;0;189;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
;Zambia;46,99;161;148;370;130;200;163;380;134;175
;Zimbabwe;55,65;148;72;285;99;170;228;562;81;150
