TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ;A ARICA;DE AREQUIPA        ;0;0;69;2.340;1.362;1.643;1.744;1.939;1.018;0
 ; ;DE LA PAZ          ;0;0;0;0;1.626;3.882;3.288;4.807;7.063;0
 ;A IQUIQUE;DE IGUAZU, ARG.    ;0;0;0;581;0;0;0;0;0;0
 ; ;DE SALTA, ARG.     ;0;0;0;138;0;0;0;0;0;0
 ; ;DE AREQUIPA        ;0;0;38;1.066;663;1.664;1.022;0;0;0
 ; ;DE LA PAZ          ;0;0;0;0;0;163;2.482;4.944;5.555;5.062
 ;A ANTOFAGASTA;DE SALTA, ARG.     ;0;0;0;0;0;0;156;0;0;0
 ; ;DE AREQUIPA        ;0;0;24;1.484;908;0;465;1.685;1.062;0
 ; ;DE LIMA            ;0;0;0;0;0;338;4.451;5.882;8.296;4.686
 ; ;DE LA PAZ          ;0;0;0;0;628;1.098;923;0;0;0
 ;A CALAMA;DE IGUAZU, ARG.    ;0;0;0;116;0;0;0;0;0;0
 ; ;DE AREQUIPA        ;0;0;0;4;68;0;0;0;0;0
 ;A CONCEPCION;DE BUENOS AIRES    ;0;0;0;0;0;0;0;0;0;116
 ; ;DE FLORIANAPOLIS   ;0;0;0;0;0;103;167;160;317;0
 ; ;DE SAO PAULO       ;0;0;0;0;0;0;0;0;0;149
 ;A ARICA;DE LA PAZ          ;0;0;0;0;0;0;0;0;0;7.276
TOTAL;INTERNACIONAL DE;SKY AIRLINE       ;6.307;6.599;6.918;10.636;10.605;30.433;96.564;143.744;181.372;218.713
TOTALES;LINEAS AEREAS;CHILENAS          ;1.178.363;1.220.634;1.375.268;1.377.466;1.250.339;1.378.851;1.682.471;2.035.040;1.989.870;2.070.076
AEROL. ARGENTINAS ;A SANTIAGO;DE BUENOS AIRES    ;124.065;97.191;104.889;78.808;71.862;95.711;91.341;34.659;50.497;36.750
 ; ;DE CORDOBA         ;0;0;0;0;0;0;0;0;0;128
 ; ;DE MENDOZA         ;0;0;0;0;0;323;13.265;6.375;8.608;4.028
TOTAL;INTERNACIONAL DE;AEROL. ARGENTINAS ;124.065;97.191;104.889;78.808;71.862;96.034;104.606;41.034;59.105;40.906
AUSTRAL           ;A SANTIAGO;DE BARILOCHE       ;0;0;0;0;0;0;0;0;71;0
 ; ;DE BUENOS AIRES    ;0;1.884;193;1.212;0;0;0;43.448;64.192;88.048
 ; ;DE MENDOZA         ;0;0;0;0;0;0;0;16.315;14.610;1.076
TOTAL;INTERNACIONAL DE;AUSTRAL           ;0;1.884;193;1.212;0;0;0;59.763;78.873;89.124
LAN ARGENTINA     ;A SANTIAGO;DE BUENOS AIRES    ;0;8.594;20.893;15.331;57.969;72.091;37.215;72.518;49.217;21.872
 ; ;DE CORDOBA         ;0;0;0;0;0;10.355;0;0;0;0
 ; ;DE MENDOZA         ;0;0;0;0;0;242;0;0;0;0
TOTAL;INTERNACIONAL DE;LAN ARGENTINA     ;0;8.594;20.893;15.331;57.969;82.688;37.215;72.518;49.217;21.872
LINEA A.DEL ESTADO;A SANTIAGO;DE GUAYAQUIL       ;0;40;0;0;0;0;0;0;0;0
 ; ;DE QUITO           ;0;86;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;LINEA A.DEL ESTADO;0;126;0;0;0;0;0;0;0;0
