TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE PASAJEROS LLEGADOS A CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
AEROMEXICO        ;755;908;820;793;1.024;851;1.119;1.595;739;1.350
LATINOAMERICANAS  ;16.387;16.086;17.029;21.691;8.962;8.729;8.811;10.338;5.185;6.464
AIR CANADA        ;1.270;1.389;1.791;2.577;1.214;2.405;2.750;3.160;2.910;2.701
AMERICAN AIRLINES ;3.932;4.639;3.429;3.165;2.752;2.335;2.180;1.188;1.489;1.318
ARROW CARGO       ;0;297;349;1.622;105;561;0;0;0;0
ATLAS AIR INC.    ;1.729;1.295;4.719;1.837;4.448;6.848;7.957;9.296;13.006;12.877
CENTURION AIR CARGO;0;0;0;0;7.595;12.457;13.366;8.612;4.293;1.107
DELTA AIRLINES    ;2.793;2.044;1.044;760;718;706;706;724;724;751
POLAR AIR CARGO   ;7.063;9.288;9.397;5.387;0;0;0;0;0;0
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;39
NORTEAMERICANAS   ;16.787;18.952;20.729;15.348;16.832;25.312;26.959;22.980;22.422;18.793
LUFTHANSA         ;2.234;522;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;201;234;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;412
AIR MADRID        ;159;251;0;0;0;0;0;0;0;0
IBERIA            ;2.602;2.948;3.336;2.651;2.792;3.777;4.188;4.211;4.473;2.163
AIR FRANCE        ;1.541;2.373;2.218;1.613;1.408;2.013;1.465;1.008;1.309;1.220
CARGOLUX AIRLINES ;2.236;2.722;2.963;3.014;2.331;1.911;0;34;1.336;2.377
SWISSAIR          ;0;996;1.598;2.590;713;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;275
MARTINAIR HOLLAND ;5.371;6.381;5.756;6.970;10.247;10.651;13.271;14.084;12.690;10.570
EUROPEAS          ;14.143;16.193;16.072;17.072;17.491;18.352;18.924;19.337;19.808;17.017
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;103;0;510
PACIFICO SUR      ;0;0;0;0;0;0;0;103;0;510
TOTAL GENERAL;102.562;112.951;118.662;123.015;102.752;126.605;124.091;120.788;109.331;106.078
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE CARGA EN KILOS SALIDAS DESDE CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;0;0;0;93;0;0;27
LAN CARGO            ;19.705;22.672;32.460;30.525;17.247;23.732;23.955;30.653;28.251;31.744
LAN AIRLINES         ;50.964;50.221;55.061;50.160;47.464;51.893;52.707;60.875;62.511;62.391
LAN EXPRESS       ;4.047;4.022;4.137;4.556;4.392;4.268;3.350;228;0;0
SKY AIRLINE       ;0;0;0;420;138;21;0;383;688;881
CHILENAS          ;74.716;76.915;91.658;85.661;69.241;79.914;80.105;92.139;91.450;95.043
AEROL. ARGENTINAS ;470;747;315;232;234;183;120;97;168;68
AUSTRAL           ;0;22;4;4;0;0;0;26;90;199
LAN ARGENTINA     ;0;77;321;16;23;50;2;31;14;8
CIELOS DEL PERU   ;10.854;7.484;12.679;14.349;0;0;0;0;0;0
LAN PERU          ;3.693;584;977;2.161;2.852;1.721;32;45;116;301
TACA-PERU         ;0;316;147;505;429;486;530;513;0;0
LLOYD A. BOLIVIANO;708;355;59;0;0;0;0;0;0;0
GOL TRANS         ;0;114;366;261;321;279;158;111;0;0
T.A.M. LINEAS AEREAS;217;2.112;3.273;4.659;6.091;5.887;5.824;4.713;0;0
VARIG             ;5.719;896;0;0;0;0;0;0;0;0
VARIG LOG SA      ;0;501;1.126;593;365;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;75;149;25;0;0;0;0;0
T.A.M.            ;207;243;168;301;235;323;278;167;0;0
PLUNA             ;702;358;540;150;49;145;8;6;0;0
LAN ECUADOR       ;815;992;578;154;163;179;276;110;116;81
AVIANCA           ;1.186;1.261;1.622;1.517;1.788;1.130;1.396;3.118;3.747;3.616
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;1.057;3.645
LANCO (CARGA)     ;0;0;0;0;0;0;619;166;129;247
TAMPA             ;1.769;2.714;910;0;0;0;0;0;0;0
L.A.C.S.A.        ;391;34;355;6;16;23;47;30;625;549
C.O.P.A.          ;264;149;215;192;348;332;284;118;37;90
AEROMEXICO        ;2.052;1.342;1.418;807;937;1.053;1.323;1.932;1.214;2.449
LATINOAMERICANAS  ;29.047;20.301;25.148;26.056;13.876;11.791;10.897;11.183;7.313;11.253
AIR CANADA        ;1.727;1.605;1.736;1.848;1.552;2.874;3.312;3.252;3.720;3.785
AMERICAN AIRLINES ;8.418;7.221;7.436;6.873;6.039;5.883;6.635;8.336;8.664;8.951
ARROW CARGO       ;0;1.602;3.325;4.346;4.509;883;0;0;0;0
ATLAS AIR INC.    ;3.721;2.149;5.917;5.720;10.204;9.372;11.250;18.743;22.965;20.920
CENTURION AIR CARGO;0;0;0;0;10.495;14.023;12.987;14.620;7.900;5.269
DELTA AIRLINES    ;4.599;4.007;5.175;7.722;6.449;6.706;10.239;11.789;11.356;7.633
POLAR AIR CARGO   ;11.777;12.796;15.254;10.150;0;0;0;0;0;0
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;185
NORTEAMERICANAS   ;30.242;29.380;38.843;36.659;39.248;39.741;44.423;56.740;54.605;46.743
LUFTHANSA         ;2.210;657;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;293;210;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;185
AIR MADRID        ;273;391;0;0;0;0;0;0;0;0
IBERIA            ;3.313;3.971;4.329;4.088;4.107;4.228;3.893;2.351;3.187;2.490
AIR FRANCE        ;3.324;2.654;3.414;2.748;3.091;2.627;2.748;2.590;2.544;2.113
CARGOLUX AIRLINES ;791;695;1.027;946;881;601;43;0;948;1.810
SWISSAIR          ;0;1.142;2.829;2.551;699;0;0;0;0;0
K.L.M.            ;0;0;0;0;0;0;0;0;0;435
MARTINAIR HOLLAND ;301;229;1.080;559;864;1.134;1.301;1.438;1.411;1.856
EUROPEAS          ;10.212;9.739;12.972;11.102;9.642;8.590;7.985;6.379;8.090;8.889
QANTAS AIRWAYS    ;0;0;0;0;0;0;0;0;0;628
PACIFICO SUR      ;0;0;0;0;0;0;0;0;0;628
TOTAL GENERAL;144.217;136.335;168.621;159.478;132.007;140.036;143.410;166.441;161.458;162.556
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;
TOTALES POR OPERADORES ANUALES;;;;;;;;;;
TRAFICO DE CARGA EN KILOS TOTALES (Llegadas+Salidas) CON CHILE;;;;;;;;;;
;;;;;;;;;;
OPERADORES;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;0;0;0;0;0;0;93;0;0;75
LAN CARGO            ;29.584;40.160;53.866;53.602;35.157;50.215;49.224;55.545;50.109;54.345
LAN AIRLINES         ;92.954;91.659;96.079;92.578;86.140;96.741;95.042;103.514;102.131;102.778
LAN EXPRESS       ;7.427;6.814;6.544;7.722;7.273;7.150;5.144;505;0;0
SKY AIRLINE       ;0;0;0;660;138;21;2;606;1.126;1.141
CHILENAS          ;129.965;138.633;156.489;154.562;128.708;154.127;149.505;160.170;153.366;158.339
AEROL. ARGENTINAS ;1.626;2.296;1.251;838;466;282;156;155;184;76
AUSTRAL           ;0;43;4;11;0;0;0;44;106;223
LAN ARGENTINA     ;0;687;672;29;64;119;8;191;47;12
CIELOS DEL PERU   ;16.160;13.096;20.787;27.338;0;0;0;0;0;0
LAN PERU          ;5.763;1.037;1.686;3.767;4.886;3.678;478;734;688;973
TACA-PERU         ;0;316;147;505;429;486;530;513;0;0
LLOYD A. BOLIVIANO;908;451;72;0;0;0;0;0;0;0
GOL TRANS         ;0;193;986;586;694;592;522;388;0;0
T.A.M. LINEAS AEREAS;583;3.545;5.021;7.204;8.982;9.566;10.474;8.135;0;0
VARIG             ;9.543;1.687;0;0;0;0;0;0;0;0
VARIG LOG SA      ;0;862;2.256;1.783;834;0;0;0;0;0
VRG LINHAS AEREAS ;0;0;86;336;44;0;0;0;0;0
T.A.M.            ;332;343;238;453;347;445;388;249;0;0
PLUNA             ;1.038;535;871;203;74;205;11;6;0;0
LAN ECUADOR       ;815;1.213;873;325;463;531;849;544;389;227
AVIANCA           ;2.059;2.052;2.519;2.469;2.959;1.995;2.577;5.999;6.519;5.898
LAN COLOMBIA      ;0;0;0;0;0;0;0;0;1.567;5.428
LANCO (CARGA)     ;0;0;0;0;0;0;665;730;260;247
TAMPA             ;3.009;5.506;1.803;0;0;0;0;0;0;0
L.A.C.S.A.        ;391;34;355;6;16;23;47;30;625;549
C.O.P.A.          ;403;243;310;294;619;693;560;280;158;284
AEROMEXICO        ;2.807;2.250;2.236;1.599;1.962;1.904;2.442;3.527;1.953;3.799
LATINOAMERICANAS  ;45.437;36.389;42.173;47.746;22.839;20.519;19.707;21.525;12.496;17.716
AIR CANADA        ;2.997;2.993;3.528;4.425;2.765;5.279;6.061;6.413;6.631;6.485
AMERICAN AIRLINES ;12.350;11.860;10.865;10.038;8.791;8.217;8.815;9.525;10.153;10.270
ARROW CARGO       ;0;1.899;3.675;5.968;4.614;1.444;0;0;0;0
ATLAS AIR INC.    ;5.449;3.446;10.636;7.557;14.652;16.221;19.207;28.039;35.971;33.797
CENTURION AIR CARGO;0;0;0;0;18.090;26.480;26.352;23.231;12.195;6.376
DELTA AIRLINES    ;7.392;6.051;6.219;8.482;7.167;7.412;10.945;12.513;12.080;8.384
POLAR AIR CARGO   ;18.841;22.085;24.652;15.536;0;0;0;0;0;0
UNITED AIRLINES   ;0;0;0;0;0;0;0;0;0;225
NORTEAMERICANAS   ;47.029;48.334;59.575;52.006;56.079;65.053;71.380;79.721;77.030;65.537
LUFTHANSA         ;4.444;1.178;0;0;0;0;0;0;0;0
AIR COMET         ;0;0;494;443;0;0;0;0;0;0
AIR EUROPA        ;0;0;0;0;0;0;0;0;0;597
AIR MADRID        ;432;642;0;0;0;0;0;0;0;0
IBERIA            ;5.915;6.919;7.665;6.739;6.900;8.006;8.080;6.562;7.659;4.653
AIR FRANCE        ;4.866;5.027;5.631;4.361;4.499;4.640;4.213;3.598;3.853;3.333
CARGOLUX AIRLINES ;3.026;3.417;3.990;3.960;3.213;2.512;43;34;2.284;4.187
