TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ; ;DE PUNTA ARENAS    ;0;0;0;120;0;0;0;0;0;0
 ;A BALMACEDA;DE PUNTA ARENAS    ;1.514;1.249;1.252;338;0;468;0;0;0;0
TOTAL;NACIONAL DE;LAN EXPRESS       ;1.039.342;1.066.267;1.355.322;1.617.958;1.444.620;1.445.758;1.632.014;1.976.379;2.095.809;2.293.150
ONE SPA           ;A SANTIAGO;DE ANTOFAGASTA     ;0;0;0;0;0;0;0;0;0;5.244
 ; ;DE CALAMA          ;0;0;0;0;0;0;0;0;0;563
 ; ;DE CONCEPCION      ;0;0;0;0;0;0;0;0;0;416
 ;A ANTOFAGASTA;DE CONCEPCION      ;0;0;0;0;0;0;0;0;0;1.395
TOTAL;NACIONAL DE;ONE SPA           ;0;0;0;0;0;0;0;0;0;7.618
PLUNA             ;A SANTIAGO;DE CONCEPCION      ;0;0;0;0;0;0;0;4.174;0;0
 ; ;DE PUNTA ARENAS    ;0;0;0;0;884;1.299;0;0;0;0
TOTAL;NACIONAL DE;PLUNA             ;0;0;0;0;884;1.299;0;4.174;0;0
SKY AIRLINE       ;A SANTIAGO;DE ARICA           ;26.761;24.118;25.168;26.819;32.104;32.658;35.390;46.721;62.225;64.708
 ; ;DE IQUIQUE         ;37.335;34.834;33.604;32.497;37.294;43.373;64.643;65.402;81.593;89.475
 ; ;DE ANTOFAGASTA     ;46.634;49.596;58.054;58.959;76.990;95.391;90.271;117.730;142.529;176.108
 ; ;DE CALAMA          ;27.543;25.752;31.005;41.017;53.721;59.047;61.045;97.150;142.872;133.078
 ; ;DE COPIAPO         ;0;13.536;21.068;17.421;22.198;32.274;44.738;55.544;67.147;73.032
 ; ;DE EL SALVADOR     ;0;0;755;4.738;4.175;3.364;4.607;6.223;494;0
 ; ;DE LA SERENA       ;0;0;0;0;0;8.378;34.183;41.601;49.262;65.125
 ; ;DE CONCEPCION      ;33.369;31.432;29.171;28.275;33.609;48.847;52.463;65.062;90.651;119.771
 ; ;DE PUCON           ;207;0;0;504;0;479;0;1.070;0;0
 ; ;DE TEMUCO          ;22.214;23.570;29.373;25.551;26.319;29.644;37.905;44.891;62.591;71.871
 ; ;DE OSORNO          ;0;0;35;5.648;145;0;0;0;0;1.232
 ; ;DE PUERTO MONTT    ;24.951;19.148;14.601;25.266;31.659;34.356;50.661;60.385;78.539;80.372
 ; ;DE VALDIVIA        ;0;77;32;4.904;1.917;104;544;580;13.802;22.683
 ; ;DE BALMACEDA       ;11.829;11.744;12.359;10.213;10.450;12.688;14.467;12.723;19.440;20.129
 ; ;DE PUERTO NATALES  ;0;0;0;260;533;0;715;2.307;1.105;0
 ; ;DE PUNTA ARENAS    ;11.387;10.269;9.184;15.303;21.058;22.462;20.674;23.768;29.899;34.559
 ;A ARICA;DE IQUIQUE         ;5.416;5.577;10.509;10.998;8.923;9.630;11.425;23.134;36.280;41.087
 ; ;DE ANTOFAGASTA     ;4.884;4.436;6.656;10.142;9.458;8.782;6.339;3.458;2.848;637
 ; ;DE CALAMA          ;0;0;5;747;809;16;13;1;55;0
 ; ;DE COPIAPO         ;0;918;2.182;2.168;2.391;1.767;330;0;0;0
 ;A IQUIQUE;DE CALAMA          ;22;159;1.679;1.595;1.763;1.165;233;24;0;47
 ; ;DE COPIAPO         ;0;2.042;3.754;4.141;3.710;3.795;973;0;0;0
